GXLC210_DTEX_50_148,3.32,3.13,2.95,2.92,2.84,2.67,2.52,2.56,1.99,1.64,1.35,1.24,1.14,1.03,1,,,,,
GXLC210_DTEX_50_149,3.06,3.02,3.06,3.09,3.31,3.2,3.16,3.06,2.88,2.56,2.13,1.78,1.56,1.42,1.32,,,,,
GXLC210_DTEX_50_150,3.48,3.59,3.63,3.52,3.48,3.38,3.31,3.02,2.49,1.92,1.74,1.42,1.24,,,,,,,
GXLC210_DTEX_50_151,3.09,3.48,3.13,3.02,3.06,3.06,2.84,2.63,2.06,1.78,,,,,,,,,,
GXLC210_DTEX_50_152,2.77,2.84,2.88,2.81,2.81,2.84,2.84,2.77,2.63,2.24,1.67,1.56,1.32,1.07,0.96,,,,,
GXLC210_DTEX_50_153,2.74,3.09,3.27,3.31,3.13,3.09,2.81,2.7,2.49,2.28,1.99,1.96,1.78,1.64,1.6,1.46,1.32,,,
GXLC210_DTEX_50_154,3.13,3.31,3.41,3.45,3.31,3.34,3.16,3.02,2.81,2.17,1.6,1.42,1.28,1.24,1.17,,,,,
GXLC210_DTEX_50_155,4.23,4.3,4.09,3.93,3.48,3.13,2.56,2.06,1.78,1.35,1.07,,,,,,,,,
GXLC210_DTEX_50_156,3.13,3.06,2.88,2.88,2.92,2.56,2.49,2.45,2.13,2.1,2.06,,,,,,,,,
GXLC210_DTEX_50_157,2.92,3.45,3.48,3.63,3.38,3.31,3.27,2.84,2.49,1.88,1.56,1.46,1.24,,,,,,,
GXLC210_DTEX_50_158,2.84,2.88,3.2,3.24,3.06,3.02,2.77,2.74,2.52,2.42,2.1,1.81,1.64,1.42,1.35,1.32,,,,
GXLC210_DTEX_50_159,2.92,2.99,3.09,2.99,2.92,2.88,2.74,2.35,2.13,1.81,1.56,1.21,0.96,,,,,,,
GXLC210_DTEX_50_160,2.77,2.74,2.7,2.67,2.6,2.42,2.13,2.03,1.96,1.85,1.78,1.6,,,,,,,,
GXLC210_DTEX_50_161,3.48,3.98,4.05,3.7,3.59,3.56,3.27,3.2,3.09,2.81,2.49,2.24,2.03,1.6,,,,,,
GXLC210_DTEX_50_162,2.67,3.27,3.48,3.34,3.31,3.27,3.2,2.92,2.81,2.49,2.13,1.71,1.35,,,,,,,
GXLC210_DTEX_50_163,2.6,2.88,3.02,2.95,2.88,2.77,2.67,2.52,2.42,2.24,1.99,1.64,1.17,,,,,,,
GXLC210_DTEX_50_164,3.48,3.63,3.34,3.06,2.74,2.56,2.17,1.42,1.14,1.1,0.92,0.89,,,,,,,,
GXLC210_DTEX_50_165,2.84,2.81,2.67,2.56,2.52,2.28,1.99,1.99,1.96,1.96,1.85,1.88,1.74,1.67,1.6,1.53,1.14,,,
GXLC210_DTEX_50_166,3.59,3.27,2.99,2.92,2.88,2.77,2.6,2.52,2.42,2.24,1.99,1.85,1.71,1.49,1.39,1.28,1.14,0.96,,
GXLC210_DTEX_50_167,3.09,3.06,3.27,3.2,3.13,2.99,2.88,2.52,2.31,2.03,1.96,1.85,1.78,1.49,1.21,0.96,,,,
GXLC210_DTEX_50_168,3.48,3.56,3.41,3.38,3.27,3.27,2.38,1.96,1.67,,,,,,,,,,,
GXLC210_DTEX_50_169,3.34,3.56,3.41,3.34,3.2,3.06,2.95,2.74,2.49,1.96,,,,,,,,,,
GXLC210_DTEX_50_170,2.2,3.41,3.41,3.16,3.09,3.02,2.84,2.77,2.56,2.31,2.1,1.92,1.14,,,,,,,
GXLC210_DTEX_50_171,3.06,3.66,3.95,3.63,3.38,2.6,2.06,1.56,1.39,1.1,1,,,,,,,,,
GXLC210_DTEX_50_172,3.13,3.27,3.24,3.09,3.09,2.81,2.6,2.17,2.2,1.74,1.39,,,,,,,,,
GXLC210_DTEX_50_173,3.09,3.52,3.73,3.8,3.7,3.66,3.52,3.34,3.16,2.56,1.99,1.67,1.42,1.24,1.03,0.78,,,,
GXLC210_DTEX_50_174,3.98,4,3.98,3.95,3.95,3.95,3.8,3.52,3.09,2.35,1.88,1.6,,,,,,,,
GXLC210_DTEX_50_175,4.05,4.59,4.44,4.27,3.88,3.7,3.41,2.63,2.2,2.06,1.78,1.56,1.24,,,,,,,
GXLC210_DTEX_50_176,2.13,2.49,2.67,2.31,2.35,2.06,1.96,1.78,1.81,1.53,1.42,,,,,,,,,
GXLC210_DTEX_50_177,3.31,3.7,3.56,3.34,3.27,3.2,3.2,3.13,3.15,3.13,3.06,2.95,2.81,2.2,1.96,1.64,1.56,,,
GXLC210_DTEX_50_178,3.52,3.66,3.7,3.59,3.48,3.13,2.84,2.6,2.42,2.03,1.78,,,,,,,,,
GXLC210_DTEX_50_179,2.49,2.77,2.84,2.74,2.6,2.52,2.52,2.35,2.17,2.03,1.74,1.53,1.42,1.17,,,,,,
